jobs number: 1, thread time: 0.4680 seconds, process time: 0.5314 seconds
jobs number: 2, thread time: 0.4669 seconds, process time: 0.2910 seconds
jobs number: 3, thread time: 0.4733 seconds, process time: 0.2051 seconds
jobs number: 4, thread time: 0.4647 seconds, process time: 0.1668 seconds
jobs number: 5, thread time: 0.4749 seconds, process time: 0.1464 seconds
jobs number: 6, thread time: 0.4699 seconds, process time: 0.1317 seconds
jobs number: 7, thread time: 0.4684 seconds, process time: 0.1330 seconds
jobs number: 8, thread time: 0.4712 seconds, process time: 0.1358 seconds
jobs number: 9, thread time: 0.4644 seconds, process time: 0.1347 seconds
jobs number: 10, thread time: 0.4698 seconds, process time: 0.1341 seconds
jobs number: 11, thread time: 0.4666 seconds, process time: 0.1323 seconds
jobs number: 12, thread time: 0.4660 seconds, process time: 0.1426 seconds
jobs number: 13, thread time: 0.4680 seconds, process time: 0.1422 seconds
jobs number: 14, thread time: 0.4690 seconds, process time: 0.1447 seconds
jobs number: 15, thread time: 0.4677 seconds, process time: 0.1534 seconds
jobs number: 16, thread time: 0.4766 seconds, process time: 0.1559 seconds
jobs number: 17, thread time: 0.4676 seconds, process time: 0.1603 seconds
jobs number: 18, thread time: 0.4658 seconds, process time: 0.1667 seconds
jobs number: 19, thread time: 0.4687 seconds, process time: 0.1678 seconds
jobs number: 20, thread time: 0.4706 seconds, process time: 0.1793 seconds
jobs number: 21, thread time: 0.4739 seconds, process time: 0.1779 seconds
jobs number: 22, thread time: 0.4684 seconds, process time: 0.1795 seconds
jobs number: 23, thread time: 0.4722 seconds, process time: 0.1925 seconds
jobs number: 24, thread time: 0.4821 seconds, process time: 0.1902 seconds
